TT_SUM,OPERATION,QUANTITY,PART,IB,TT_AVG,PROGRAM
2776.8988,7721,209,8PLAEVHH,3,13.28659713,PSCDTJMH8MC830G0
4330.9928,7721,295,8PLAEVHH,3,14.68133153,PSCDTJMH8MC830G0
49.117,7721,3,8PLAEVHH,3,16.37233333,PSCDTJMH8MC830G0
15.1929,7721,1,8PLAEVHH,3,15.1929,PSCDTJMH8MC830G0
828.873,7721,61,8PLAEVHH,3,13.58808197,PSCDTJMH8MC830G0
1380.5067,7721,102,8PLAEVHH,3,13.53437941,PSCDTJMH8MC830G0
2312.6866,7721,114,8PLAEVHH,3,20.28672456,PSCDTJMH8MC830G0
1656.4907,7721,123,8PLAEVHH,3,13.46740407,PSCDTJMH8MC830G0
328.0649,7721,23,8PLAEVHH,3,14.2636913,PSCDTJMH8MC830G0
1080.6817,7721,77,8PLAEVHH,3,14.03482727,PSCDTJMH8MC830G0
245.6236,7721,18,8PLAEVHH,3,13.64575556,PSCDTJMH8MC830G0
145.8961,7721,11,8PLAEVHH,3,13.26328182,PSCDTJMH8MC830G0
40.6108,7721,3,8PLAEVHH,3,13.53693333,PSCDTJMH8MC830G0
56.977,7721,4,8PLAEVHH,3,14.24425,PSCDTJMH8MC830G0
821.4288,7721,63,8PLAEVHH,3,13.03855238,PSCDTJMH8MC830G0
2223.7378,7721,133,8PLAEVHH,3,16.71983308,PSCDTJMH8MC830G0
968.4593,7721,70,8PLAEVHH,3,13.83513286,PSCDTJMH8MC830G0
379.9647,7721,26,8PLAEVHH,3,14.61402692,PSCDTJMH8MC830G0
593.6181,7721,41,8PLAEVHH,3,14.47849024,PSCDTJMH8MC830G0
680.19,7721,52,8PLAEVHH,3,13.08057692,PSCDTJMH8MC830G0
820.8461,7721,61,8PLAEVHH,3,13.45649344,PSCDTJMH8MC830G0
415.0626,7721,30,8PLAEVHH,3,13.83542,PSCDTJMH8MC830G0
1256.4195,7721,92,8PLAEVHH,3,13.6567337,PSCDTJMH8MC830G0
1550.9321,7721,104,8PLAEVHH,3,14.91280865,PSCDTJMH8MC830G0
1009.6022,7721,74,8PLAEVHH,3,13.64327297,PSCDTJMH8MC830G0
217.7329,7721,16,8PLAEVHH,3,13.60830625,PSCDTJMH8MC830G0
723.2028,7721,55,8PLAEVHH,3,13.14914182,PSCDTJMH8MC830G0
