LOT,OPER,DEVREVSTEP,TP,TTEST,TGOOD,B1,B2,B3,B4,B5,B6
M531A996,7721,8PUAEVL,PSCDTJML0MCA55B3,1082,1055,,,74,1427,2353,881
M531A997,7721,8PUAEVL,PSCDTJML0MCA55B3,1200,1182,,,28,1461,2739,1083
M531A998,7721,8PUAEVL,PSCDTJML0MCA55B3,1169,1130,,,69,2076,2133,535
M531A999,7721,8PUAEVL,PSCDTJML0MCA55B3,1231,1205,,,100,2429,1937,531
M531B282,7721,8PUAEVL,PSCDTJML0MCA55B3,1060,1017,,,13,881,2417,1501
M531B283,7721,8PUAEVL,PSCDTJML0MCA55B3,1119,1075,,,35,1087,2575,1296
M531B393,7721,8PUAEVL,PSCDTJML0MCA55B3,1087,1019,,,23,1047,2356,1322
M531B394,7721,8PUAEVL,PSCDTJML0MCA55B3,1065,986,,,42,773,2397,1447
M531B396,7721,8PUAEVL,PSCDTJML0MCA55B3,1198,1152,,,36,2003,2335,511
M531B397,7721,8PUAEVL,PSCDTJML0MCA55B3,1234,1197,,,70,2237,2096,620
M531C879,7721,8PUADVL,PSCDTJML0MCA55B3,1234,1219,,,1975,1495,94,
M531C880,7721,8PUADVL,PSCDTJML0MCA55B3,1181,1164,,,1632,1765,176,43
M531C883,7721,8PUADVL,PSCDTJML0MCA55B3,1178,1147,,,2114,959,75,
M531C884,7721,8PUADVL,PSCDTJML0MCA55B3,1211,1195,,,2099,1038,121,15
M531C885,7721,8PUADVL,PSCDTJML0MCA55B3,1184,1175,,,2069,942,273,48
M531C886,7721,8PUADVL,PSCDTJML0MCA55B3,1189,1158,,,2057,1010,156,25
M531C888,7721,8PUADVL,PSCDTJML0MCA55B3,1130,1113,,,2020,1002,82,10
M531C889,7721,8PUADVL,PSCDTJML0MCA55B3,1128,1104,,,1866,1156,144,17
M532A106,7721,8PUADVL,PSCDTJML0MCA55B3,1098,1083,,,1372,1633,405,18
M532A107,7721,8PUADVL,PSCDTJML0MCA55B3,999,987,,,1387,1350,312,15
